,Понедельник ГРУДЬ И БИЦЕПС,,,,,Среда СПИНА И ТРИЦЕПС,,,,,Пятница ПЛЕЧИ И НОГИ,,,,,НОГИ,,,,,ГОЛОВА,,,
Подходы,1,2,3,4,,1,2,3,4,,1,2,3,4,,1,2,3,4,,1,2,3,4
Группа,Грудные мышцы,,,,,Спина,,,,,Плечи,,,,,Выбери,,,,,Выбери,,,
Упражнение 1,Жим штанги лёжа на горизонтальной скамье,,,,,Турник/гравитрон широким хватом,,,,,Махи гантелями в наклоне на заднюю дельту,,,,,Отдыхаем!,,,,,Отдыхаем!,,,
Особенность,Обычный подход,,,,,Обычный подход,,,,,Обычный подход,,,,,Дроп-сет,,,,,Дроп-сет,,,
Упражнение 1,Жим штанги лёжа на горизонтальной скамье,,Обычный подход,,,Турник/гравитрон широким хватом,,Обычный подход,,,Махи гантелями в наклоне на заднюю дельту,,Обычный подход,,,Отдыхаем!,,Дроп-сет,,,Отдыхаем!,,Дроп-сет,
Комментарий,,,,,,,,,,,,,,,,,,,,,,,,
Вес,,,,,,,,,,,,,,,,,,,,,,,,
Повторы,6,6,6,6,,6,6,6,6,,12,12,12,12,,,,,,,,,,
Отдых,,,,,,,,,,,,,,,,,,,,,,,,
Выполнение,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
Ссылка на видео выполнения,,,,,,,,,,,,,,,,,,,,,,,,
Комментарий к выполнению,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Группа,Грудные мышцы,,,,,Спина,,,,,Плечи,,,,,Выбери,,,,,Выбери,,,
Упражнение 2,Жим лежа в тренажере Смит (горизонт),,,,,Тяга верхнего блока широким хватом ,,,,,Махи гантелями сидя в стороны ,,,,,Отдыхаем!,,,,,Отдыхаем!,,,
